|dates|Bertie_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Bertie_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Bertie_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Bertie_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Bertie_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Bertie_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|115.0|0|4.0|0|0.0|0
0|2020-05-28|115.0|0|4.0|0|0.0|0
0|2020-05-29|115.0|0|4.0|0|0.0|0
0|2020-05-30|115.0|0|4.0|0|0.0|0
