|dates|Carroll_Georgia_UnitedStates.JHU_ConfirmedCases.data|Carroll_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Carroll_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Carroll_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Carroll_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Carroll_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|512.0|0|25.0|0|0.0|0
0|2020-05-28|512.0|0|25.0|0|0.0|0
0|2020-05-29|512.0|0|25.0|0|0.0|0
0|2020-05-30|512.0|0|25.0|0|0.0|0
