|dates|Muskogee_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Muskogee_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Muskogee_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Muskogee_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Muskogee_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Muskogee_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|39.0|0|6.0|0|0.0|0
0|2020-05-28|39.0|0|6.0|0|0.0|0
0|2020-05-29|39.0|0|6.0|0|0.0|0
0|2020-05-30|39.0|0|6.0|0|0.0|0
