|dates|Scott_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Scott_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Scott_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Scott_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Scott_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Scott_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|35.0|0|0.0|0|0.0|0
0|2020-05-28|35.0|0|0.0|0|0.0|0
0|2020-05-29|35.0|0|0.0|0|0.0|0
0|2020-05-30|35.0|0|0.0|0|0.0|0
