|dates|Brown_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Brown_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Brown_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Brown_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Brown_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Brown_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|10.0|0|2.0|0|0.0|0
0|2020-05-18|10.0|0|2.0|0|0.0|0
0|2020-05-19|10.0|0|2.0|0|0.0|0
0|2020-05-20|10.0|0|2.0|0|0.0|0
0|2020-05-21|10.0|0|2.0|0|0.0|0
0|2020-05-22|11.0|0|2.0|0|0.0|0
0|2020-05-23|11.0|0|2.0|0|0.0|0
