|dates|Chesterfield_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Chesterfield_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Chesterfield_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Chesterfield_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Chesterfield_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Chesterfield_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|131.0|0|2.0|0|0.0|0
0|2020-05-25|132.0|0|3.0|0|0.0|0
0|2020-05-26|132.0|0|3.0|0|0.0|0
