|dates|Ramsey_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|Ramsey_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|Ramsey_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Ramsey_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Ramsey_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Ramsey_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|9.0|0|1.0|0|0.0|0
0|2020-05-25|9.0|0|1.0|0|0.0|0
0|2020-05-26|9.0|0|1.0|0|0.0|0
