|dates|Floyd_Iowa_UnitedStates.JHU_ConfirmedCases.data|Floyd_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Floyd_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Floyd_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Floyd_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Floyd_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|9.0|0|1.0|0|0.0|0
0|2020-05-15|10.0|0|1.0|0|0.0|0
0|2020-05-16|10.0|0|1.0|0|0.0|0
