|dates|Twiggs_Georgia_UnitedStates.JHU_ConfirmedCases.data|Twiggs_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Twiggs_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Twiggs_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Twiggs_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Twiggs_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|15.0|0|0.0|0|0.0|0
0|2020-05-28|15.0|0|0.0|0|0.0|0
0|2020-05-29|15.0|0|0.0|0|0.0|0
0|2020-05-30|15.0|0|0.0|0|0.0|0
