|dates|Schoharie_NewYork_UnitedStates.JHU_ConfirmedCases.data|Schoharie_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Schoharie_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Schoharie_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Schoharie_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Schoharie_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|49.0|0|0.0|0|0.0|0
0|2020-05-25|49.0|0|0.0|0|0.0|0
0|2020-05-26|49.0|0|0.0|0|0.0|0
