|dates|Ashley_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Ashley_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Ashley_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Ashley_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Ashley_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Ashley_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|18.0|0|0.0|0|0.0|0
0|2020-05-15|18.0|0|0.0|0|0.0|0
0|2020-05-16|18.0|0|0.0|0|0.0|0
