|dates|Jefferson_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Jefferson_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Jefferson_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Jefferson_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Jefferson_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Jefferson_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|92.0|0|3.0|0|0.0|0
0|2020-05-28|92.0|0|3.0|0|0.0|0
0|2020-05-29|92.0|0|3.0|0|0.0|0
0|2020-05-30|92.0|0|3.0|0|0.0|0
