|dates|Bath_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Bath_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Bath_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Bath_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Bath_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Bath_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|7.0|0|1.0|0|0.0|0
0|2020-05-18|7.0|0|1.0|0|0.0|0
0|2020-05-19|7.0|0|1.0|0|0.0|0
0|2020-05-20|7.0|0|1.0|0|0.0|0
0|2020-05-21|8.0|0|1.0|0|0.0|0
0|2020-05-22|8.0|0|1.0|0|0.0|0
0|2020-05-23|8.0|0|1.0|0|0.0|0
