|dates|PointeCoupee_Louisiana_UnitedStates.JHU_ConfirmedCases.data|PointeCoupee_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|PointeCoupee_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|PointeCoupee_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|PointeCoupee_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|PointeCoupee_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|168.0|0|20.0|0|0.0|0
0|2020-05-18|169.0|0|20.0|0|0.0|0
0|2020-05-19|173.0|0|21.0|0|0.0|0
0|2020-05-20|179.0|0|21.0|0|0.0|0
0|2020-05-21|181.0|0|22.0|0|0.0|0
0|2020-05-22|182.0|0|22.0|0|0.0|0
0|2020-05-23|182.0|0|22.0|0|0.0|0
