|dates|Benton_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Benton_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Benton_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Benton_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Benton_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Benton_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|14.0|0|0.0|0|0.0|0
0|2020-05-28|14.0|0|0.0|0|0.0|0
0|2020-05-29|14.0|0|0.0|0|0.0|0
0|2020-05-30|14.0|0|0.0|0|0.0|0
