|dates|Midland_Michigan_UnitedStates.JHU_ConfirmedCases.data|Midland_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Midland_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Midland_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Midland_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Midland_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|67.0|0|8.0|0|0.0|0
0|2020-05-15|69.0|0|8.0|0|0.0|0
0|2020-05-16|69.0|0|8.0|0|0.0|0
