|dates|Mohave_Arizona_UnitedStates.JHU_ConfirmedCases.data|Mohave_Arizona_UnitedStates.JHU_ConfirmedCases.missing|Mohave_Arizona_UnitedStates.JHU_ConfirmedDeaths.data|Mohave_Arizona_UnitedStates.JHU_ConfirmedDeaths.missing|Mohave_Arizona_UnitedStates.JHU_ConfirmedRecoveries.data|Mohave_Arizona_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|250.0|0|28.0|0|0.0|0
0|2020-05-18|251.0|0|28.0|0|0.0|0
0|2020-05-19|262.0|0|28.0|0|0.0|0
0|2020-05-20|267.0|0|29.0|0|0.0|0
0|2020-05-21|277.0|0|31.0|0|0.0|0
0|2020-05-22|288.0|0|33.0|0|0.0|0
0|2020-05-23|288.0|0|33.0|0|0.0|0
