|dates|Putnam_Florida_UnitedStates.JHU_ConfirmedCases.data|Putnam_Florida_UnitedStates.JHU_ConfirmedCases.missing|Putnam_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Putnam_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Putnam_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Putnam_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|127.0|0|3.0|0|0.0|0
0|2020-05-15|127.0|0|3.0|0|0.0|0
0|2020-05-16|127.0|0|3.0|0|0.0|0
