|dates|Juneau_Alaska_UnitedStates.JHU_ConfirmedCases.data|Juneau_Alaska_UnitedStates.JHU_ConfirmedCases.missing|Juneau_Alaska_UnitedStates.JHU_ConfirmedDeaths.data|Juneau_Alaska_UnitedStates.JHU_ConfirmedDeaths.missing|Juneau_Alaska_UnitedStates.JHU_ConfirmedRecoveries.data|Juneau_Alaska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|27.0|0|0.0|0|0.0|0
0|2020-05-15|29.0|0|0.0|0|0.0|0
0|2020-05-16|29.0|0|0.0|0|0.0|0
