|dates|Ballard_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Ballard_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Ballard_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Ballard_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Ballard_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Ballard_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|9.0|0|0.0|0|0.0|0
0|2020-05-25|9.0|0|0.0|0|0.0|0
0|2020-05-26|9.0|0|0.0|0|0.0|0
