|dates|Kalawao_Hawaii_UnitedStates.JHU_ConfirmedCases.data|Kalawao_Hawaii_UnitedStates.JHU_ConfirmedCases.missing|Kalawao_Hawaii_UnitedStates.JHU_ConfirmedDeaths.data|Kalawao_Hawaii_UnitedStates.JHU_ConfirmedDeaths.missing|Kalawao_Hawaii_UnitedStates.JHU_ConfirmedRecoveries.data|Kalawao_Hawaii_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|625.0|0|17.0|0|0.0|0
0|2020-05-18|625.0|0|17.0|0|0.0|0
0|2020-05-19|625.0|0|17.0|0|0.0|0
0|2020-05-20|625.0|0|17.0|0|0.0|0
0|2020-05-21|625.0|0|17.0|0|0.0|0
0|2020-05-22|625.0|0|17.0|0|0.0|0
0|2020-05-23|625.0|0|17.0|0|0.0|0
