|dates|Decatur_Indiana_UnitedStates.JHU_ConfirmedCases.data|Decatur_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Decatur_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Decatur_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Decatur_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Decatur_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|224.0|0|31.0|0|0.0|0
0|2020-05-28|224.0|0|31.0|0|0.0|0
0|2020-05-29|224.0|0|31.0|0|0.0|0
0|2020-05-30|224.0|0|31.0|0|0.0|0
