|dates|Cole_Missouri_UnitedStates.JHU_ConfirmedCases.data|Cole_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Cole_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Cole_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Cole_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Cole_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|56.0|0|1.0|0|0.0|0
0|2020-05-18|56.0|0|1.0|0|0.0|0
0|2020-05-19|56.0|0|1.0|0|0.0|0
0|2020-05-20|56.0|0|1.0|0|0.0|0
0|2020-05-21|56.0|0|1.0|0|0.0|0
0|2020-05-22|58.0|0|1.0|0|0.0|0
0|2020-05-23|58.0|0|1.0|0|0.0|0
