|dates|Hardin_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Hardin_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Hardin_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Hardin_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Hardin_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Hardin_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|9.0|0|0.0|0|0.0|0
0|2020-05-18|10.0|0|0.0|0|0.0|0
0|2020-05-19|10.0|0|1.0|0|0.0|0
0|2020-05-20|10.0|0|1.0|0|0.0|0
0|2020-05-21|10.0|0|2.0|0|0.0|0
0|2020-05-22|10.0|0|2.0|0|0.0|0
0|2020-05-23|10.0|0|2.0|0|0.0|0
