|dates|Williamson_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Williamson_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Williamson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Williamson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Williamson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Williamson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|532.0|0|10.0|0|0.0|0
0|2020-05-28|532.0|0|10.0|0|0.0|0
0|2020-05-29|532.0|0|10.0|0|0.0|0
0|2020-05-30|532.0|0|10.0|0|0.0|0
