|dates|Darlington_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Darlington_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Darlington_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Darlington_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Darlington_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Darlington_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|218.0|0|5.0|0|0.0|0
0|2020-05-18|222.0|0|5.0|0|0.0|0
0|2020-05-19|227.0|0|5.0|0|0.0|0
0|2020-05-20|232.0|0|5.0|0|0.0|0
0|2020-05-21|240.0|0|6.0|0|0.0|0
0|2020-05-22|242.0|0|6.0|0|0.0|0
0|2020-05-23|242.0|0|6.0|0|0.0|0
