|dates|Champaign_Illinois_UnitedStates.JHU_ConfirmedCases.data|Champaign_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Champaign_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Champaign_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Champaign_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Champaign_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|556.0|0|7.0|0|0.0|0
0|2020-05-25|564.0|0|7.0|0|0.0|0
0|2020-05-26|564.0|0|7.0|0|0.0|0
