|dates|Morgan_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Morgan_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Morgan_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Morgan_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Morgan_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Morgan_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|1.0|0|0.0|0|0.0|0
0|2020-05-25|1.0|0|0.0|0|0.0|0
0|2020-05-26|1.0|0|0.0|0|0.0|0
