|dates|Huntingdon_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Huntingdon_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Huntingdon_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Huntingdon_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Huntingdon_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Huntingdon_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|214.0|0|0.0|0|0.0|0
0|2020-05-18|214.0|0|0.0|0|0.0|0
0|2020-05-19|214.0|0|0.0|0|0.0|0
0|2020-05-20|215.0|0|1.0|0|0.0|0
0|2020-05-21|221.0|0|1.0|0|0.0|0
0|2020-05-22|223.0|0|1.0|0|0.0|0
0|2020-05-23|223.0|0|1.0|0|0.0|0
