|dates|Hampden_Massachusetts_UnitedStates.JHU_ConfirmedCases.data|Hampden_Massachusetts_UnitedStates.JHU_ConfirmedCases.missing|Hampden_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.data|Hampden_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.missing|Hampden_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.data|Hampden_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|5205.0|0|516.0|0|0.0|0
0|2020-05-18|5264.0|0|517.0|0|0.0|0
0|2020-05-19|5335.0|0|521.0|0|0.0|0
0|2020-05-20|5418.0|0|526.0|0|0.0|0
0|2020-05-21|5492.0|0|533.0|0|0.0|0
0|2020-05-22|5568.0|0|537.0|0|0.0|0
0|2020-05-23|5568.0|0|537.0|0|0.0|0
