|dates|Bulloch_Georgia_UnitedStates.JHU_ConfirmedCases.data|Bulloch_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Bulloch_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Bulloch_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Bulloch_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Bulloch_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|45.0|0|2.0|0|0.0|0
0|2020-05-18|45.0|0|2.0|0|0.0|0
0|2020-05-19|45.0|0|2.0|0|0.0|0
0|2020-05-20|46.0|0|2.0|0|0.0|0
0|2020-05-21|48.0|0|2.0|0|0.0|0
0|2020-05-22|49.0|0|2.0|0|0.0|0
0|2020-05-23|49.0|0|2.0|0|0.0|0
