|dates|Fayette_Texas_UnitedStates.JHU_ConfirmedCases.data|Fayette_Texas_UnitedStates.JHU_ConfirmedCases.missing|Fayette_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Fayette_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Fayette_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Fayette_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|29.0|0|2.0|0|0.0|0
0|2020-05-18|29.0|0|2.0|0|0.0|0
0|2020-05-19|31.0|0|2.0|0|0.0|0
0|2020-05-20|31.0|0|2.0|0|0.0|0
0|2020-05-21|31.0|0|2.0|0|0.0|0
0|2020-05-22|31.0|0|2.0|0|0.0|0
0|2020-05-23|31.0|0|2.0|0|0.0|0
