|dates|Rowan_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Rowan_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Rowan_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Rowan_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Rowan_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Rowan_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|7.0|0|0.0|0|0.0|0
0|2020-05-25|7.0|0|0.0|0|0.0|0
0|2020-05-26|7.0|0|0.0|0|0.0|0
