|dates|Grayson_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Grayson_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Grayson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Grayson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Grayson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Grayson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|103.0|0|8.0|0|0.0|0
0|2020-05-18|107.0|0|8.0|0|0.0|0
0|2020-05-19|109.0|0|8.0|0|0.0|0
0|2020-05-20|110.0|0|8.0|0|0.0|0
0|2020-05-21|119.0|0|8.0|0|0.0|0
0|2020-05-22|120.0|0|8.0|0|0.0|0
0|2020-05-23|120.0|0|8.0|0|0.0|0
