|dates|Cobb_Georgia_UnitedStates.JHU_ConfirmedCases.data|Cobb_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Cobb_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Cobb_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Cobb_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Cobb_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|2406.0|0|132.0|0|0.0|0
0|2020-05-18|2429.0|0|133.0|0|0.0|0
0|2020-05-19|2503.0|0|135.0|0|0.0|0
0|2020-05-20|2584.0|0|135.0|0|0.0|0
0|2020-05-21|2625.0|0|138.0|0|0.0|0
0|2020-05-22|2655.0|0|141.0|0|0.0|0
0|2020-05-23|2655.0|0|141.0|0|0.0|0
