|dates|Lincoln_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Lincoln_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Lincoln_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Lincoln_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Lincoln_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Lincoln_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|44.0|0|1.0|0|0.0|0
0|2020-05-18|45.0|0|1.0|0|0.0|0
0|2020-05-19|45.0|0|1.0|0|0.0|0
0|2020-05-20|46.0|0|2.0|0|0.0|0
0|2020-05-21|48.0|0|2.0|0|0.0|0
0|2020-05-22|46.0|0|2.0|0|0.0|0
0|2020-05-23|46.0|0|2.0|0|0.0|0
