|dates|Surry_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Surry_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Surry_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Surry_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Surry_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Surry_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|62.0|0|1.0|0|0.0|0
0|2020-05-15|67.0|0|1.0|0|0.0|0
0|2020-05-16|67.0|0|1.0|0|0.0|0
