|dates|St.Francois_Missouri_UnitedStates.JHU_ConfirmedCases.data|St.Francois_Missouri_UnitedStates.JHU_ConfirmedCases.missing|St.Francois_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|St.Francois_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|St.Francois_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|St.Francois_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|33.0|0|2.0|0|0.0|0
0|2020-05-18|33.0|0|2.0|0|0.0|0
0|2020-05-19|33.0|0|2.0|0|0.0|0
0|2020-05-20|33.0|0|2.0|0|0.0|0
0|2020-05-21|33.0|0|2.0|0|0.0|0
0|2020-05-22|33.0|0|2.0|0|0.0|0
0|2020-05-23|33.0|0|2.0|0|0.0|0
