|dates|Louisa_Iowa_UnitedStates.JHU_ConfirmedCases.data|Louisa_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Louisa_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Louisa_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Louisa_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Louisa_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|291.0|0|3.0|0|0.0|0
0|2020-05-15|304.0|0|3.0|0|0.0|0
0|2020-05-16|304.0|0|3.0|0|0.0|0
