|dates|Baltimore_Maryland_UnitedStates.JHU_ConfirmedCases.data|Baltimore_Maryland_UnitedStates.JHU_ConfirmedCases.missing|Baltimore_Maryland_UnitedStates.JHU_ConfirmedDeaths.data|Baltimore_Maryland_UnitedStates.JHU_ConfirmedDeaths.missing|Baltimore_Maryland_UnitedStates.JHU_ConfirmedRecoveries.data|Baltimore_Maryland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|4624.0|0|250.0|0|0.0|0
0|2020-05-18|4749.0|0|255.0|0|0.0|0
0|2020-05-19|4920.0|0|263.0|0|0.0|0
0|2020-05-20|5025.0|0|277.0|0|0.0|0
0|2020-05-21|5135.0|0|286.0|0|0.0|0
0|2020-05-22|5170.0|0|292.0|0|0.0|0
0|2020-05-23|5170.0|0|292.0|0|0.0|0
