|dates|Yakima_Washington_UnitedStates.JHU_ConfirmedCases.data|Yakima_Washington_UnitedStates.JHU_ConfirmedCases.missing|Yakima_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Yakima_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Yakima_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Yakima_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|2253.0|0|75.0|0|0.0|0
0|2020-05-18|2370.0|0|75.0|0|0.0|0
0|2020-05-19|2444.0|0|81.0|0|0.0|0
0|2020-05-20|2518.0|0|82.0|0|0.0|0
0|2020-05-21|2551.0|0|83.0|0|0.0|0
0|2020-05-22|2594.0|0|83.0|0|0.0|0
0|2020-05-23|2594.0|0|83.0|0|0.0|0
