|dates|Calcasieu_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Calcasieu_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Calcasieu_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Calcasieu_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Calcasieu_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Calcasieu_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|517.0|0|40.0|0|0.0|0
0|2020-05-18|520.0|0|40.0|0|0.0|0
0|2020-05-19|521.0|0|40.0|0|0.0|0
0|2020-05-20|521.0|0|42.0|0|0.0|0
0|2020-05-21|548.0|0|42.0|0|0.0|0
0|2020-05-22|567.0|0|42.0|0|0.0|0
0|2020-05-23|567.0|0|42.0|0|0.0|0
