|dates|Martin_Texas_UnitedStates.JHU_ConfirmedCases.data|Martin_Texas_UnitedStates.JHU_ConfirmedCases.missing|Martin_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Martin_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Martin_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Martin_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|3.0|0|1.0|0|0.0|0
0|2020-05-15|3.0|0|1.0|0|0.0|0
0|2020-05-16|3.0|0|1.0|0|0.0|0
