|dates|St.Bernard_Louisiana_UnitedStates.JHU_ConfirmedCases.data|St.Bernard_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|St.Bernard_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|St.Bernard_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|St.Bernard_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|St.Bernard_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|512.0|0|18.0|0|0.0|0
0|2020-05-18|513.0|0|19.0|0|0.0|0
0|2020-05-19|516.0|0|20.0|0|0.0|0
0|2020-05-20|518.0|0|21.0|0|0.0|0
0|2020-05-21|521.0|0|21.0|0|0.0|0
0|2020-05-22|521.0|0|21.0|0|0.0|0
0|2020-05-23|521.0|0|21.0|0|0.0|0
