|dates|Fayette_Ohio_UnitedStates.JHU_ConfirmedCases.data|Fayette_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Fayette_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Fayette_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Fayette_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Fayette_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|31.0|0|0.0|0|0.0|0
0|2020-05-18|32.0|0|0.0|0|0.0|0
0|2020-05-19|31.0|0|0.0|0|0.0|0
0|2020-05-20|32.0|0|0.0|0|0.0|0
0|2020-05-21|33.0|0|0.0|0|0.0|0
0|2020-05-22|34.0|0|0.0|0|0.0|0
0|2020-05-23|34.0|0|0.0|0|0.0|0
