|dates|Jefferson_NewYork_UnitedStates.JHU_ConfirmedCases.data|Jefferson_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Jefferson_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Jefferson_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Jefferson_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Jefferson_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|71.0|0|0.0|0|0.0|0
0|2020-05-18|71.0|0|0.0|0|0.0|0
0|2020-05-19|71.0|0|0.0|0|0.0|0
0|2020-05-20|71.0|0|0.0|0|0.0|0
0|2020-05-21|71.0|0|0.0|0|0.0|0
0|2020-05-22|72.0|0|0.0|0|0.0|0
0|2020-05-23|72.0|0|0.0|0|0.0|0
