|dates|Franklin_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Franklin_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|43.0|0|1.0|0|0.0|0
0|2020-05-18|43.0|0|1.0|0|0.0|0
0|2020-05-19|43.0|0|1.0|0|0.0|0
0|2020-05-20|43.0|0|1.0|0|0.0|0
0|2020-05-21|44.0|0|1.0|0|0.0|0
0|2020-05-22|45.0|0|1.0|0|0.0|0
0|2020-05-23|45.0|0|1.0|0|0.0|0
