|dates|Tompkins_NewYork_UnitedStates.JHU_ConfirmedCases.data|Tompkins_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Tompkins_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Tompkins_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Tompkins_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Tompkins_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|139.0|0|0.0|0|0.0|0
0|2020-05-18|141.0|0|0.0|0|0.0|0
0|2020-05-19|142.0|0|0.0|0|0.0|0
0|2020-05-20|145.0|0|0.0|0|0.0|0
0|2020-05-21|145.0|0|0.0|0|0.0|0
0|2020-05-22|147.0|0|0.0|0|0.0|0
0|2020-05-23|147.0|0|0.0|0|0.0|0
