|dates|Union_Ohio_UnitedStates.JHU_ConfirmedCases.data|Union_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Union_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Union_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Union_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Union_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|35.0|0|0.0|0|0.0|0
0|2020-05-18|37.0|0|0.0|0|0.0|0
0|2020-05-19|36.0|0|0.0|0|0.0|0
0|2020-05-20|37.0|0|0.0|0|0.0|0
0|2020-05-21|40.0|0|0.0|0|0.0|0
0|2020-05-22|40.0|0|0.0|0|0.0|0
0|2020-05-23|40.0|0|0.0|0|0.0|0
