|dates|LeFlore_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|LeFlore_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|LeFlore_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|LeFlore_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|LeFlore_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|LeFlore_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|14.0|0|1.0|0|0.0|0
0|2020-05-28|14.0|0|1.0|0|0.0|0
0|2020-05-29|14.0|0|1.0|0|0.0|0
0|2020-05-30|14.0|0|1.0|0|0.0|0
