|dates|Rockland_NewYork_UnitedStates.JHU_ConfirmedCases.data|Rockland_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Rockland_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Rockland_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Rockland_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Rockland_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-04-19|9364.0|0|334.0|0|0.0|0
0|2020-04-20|9457.0|0|334.0|0|0.0|0
0|2020-04-21|9568.0|0|401.0|0|0.0|0
0|2020-04-22|9699.0|0|401.0|0|0.0|0
0|2020-04-23|9828.0|0|436.0|0|0.0|0
0|2020-04-24|10091.0|0|453.0|0|0.0|0
0|2020-04-25|11091.0|0|453.0|0|0.0|0
0|2020-04-26|11256.0|0|453.0|0|0.0|0
0|2020-04-27|11366.0|0|481.0|0|0.0|0
0|2020-04-28|11453.0|0|481.0|0|0.0|0
0|2020-04-29|11586.0|0|500.0|0|0.0|0
0|2020-04-30|11708.0|0|511.0|0|0.0|0
0|2020-05-01|11812.0|0|519.0|0|0.0|0
0|2020-05-02|11945.0|0|519.0|0|0.0|0
0|2020-05-03|12025.0|0|519.0|0|0.0|0
0|2020-05-04|12095.0|0|536.0|0|0.0|0
0|2020-05-05|12144.0|0|551.0|0|0.0|0
0|2020-05-06|12204.0|0|551.0|0|0.0|0
0|2020-05-07|12280.0|0|557.0|0|0.0|0
0|2020-05-08|12349.0|0|562.0|0|0.0|0
0|2020-05-09|12400.0|0|562.0|0|0.0|0
0|2020-05-10|12451.0|0|562.0|0|0.0|0
0|2020-05-11|12451.0|0|562.0|0|0.0|0
0|2020-05-12|12504.0|0|580.0|0|0.0|0
0|2020-05-13|12543.0|0|586.0|0|0.0|0
