|dates|Sebastian_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Sebastian_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Sebastian_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Sebastian_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Sebastian_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Sebastian_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|15.0|0|0.0|0|0.0|0
0|2020-05-15|15.0|0|0.0|0|0.0|0
0|2020-05-16|15.0|0|0.0|0|0.0|0
