|dates|Walton_Georgia_UnitedStates.JHU_ConfirmedCases.data|Walton_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Walton_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Walton_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Walton_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Walton_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|158.0|0|8.0|0|0.0|0
0|2020-05-18|164.0|0|9.0|0|0.0|0
0|2020-05-19|166.0|0|9.0|0|0.0|0
0|2020-05-20|172.0|0|9.0|0|0.0|0
0|2020-05-21|186.0|0|9.0|0|0.0|0
0|2020-05-22|186.0|0|10.0|0|0.0|0
0|2020-05-23|186.0|0|10.0|0|0.0|0
