|dates|Jersey_Illinois_UnitedStates.JHU_ConfirmedCases.data|Jersey_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Jersey_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Jersey_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Jersey_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Jersey_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|18.0|0|1.0|0|0.0|0
0|2020-05-15|18.0|0|1.0|0|0.0|0
0|2020-05-16|18.0|0|1.0|0|0.0|0
