|dates|Hardee_Florida_UnitedStates.JHU_ConfirmedCases.data|Hardee_Florida_UnitedStates.JHU_ConfirmedCases.missing|Hardee_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Hardee_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Hardee_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Hardee_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|40.0|0|0.0|0|0.0|0
0|2020-05-18|42.0|0|0.0|0|0.0|0
0|2020-05-19|44.0|0|0.0|0|0.0|0
0|2020-05-20|47.0|0|0.0|0|0.0|0
0|2020-05-21|54.0|0|0.0|0|0.0|0
0|2020-05-22|60.0|0|0.0|0|0.0|0
0|2020-05-23|60.0|0|0.0|0|0.0|0
