|dates|Bossier_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Bossier_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Bossier_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Bossier_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Bossier_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Bossier_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|327.0|0|22.0|0|0.0|0
0|2020-05-15|336.0|0|23.0|0|0.0|0
0|2020-05-16|336.0|0|23.0|0|0.0|0
