|dates|White_Georgia_UnitedStates.JHU_ConfirmedCases.data|White_Georgia_UnitedStates.JHU_ConfirmedCases.missing|White_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|White_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|White_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|White_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|98.0|0|3.0|0|0.0|0
0|2020-05-28|98.0|0|3.0|0|0.0|0
0|2020-05-29|98.0|0|3.0|0|0.0|0
0|2020-05-30|98.0|0|3.0|0|0.0|0
