|dates|Nemaha_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Nemaha_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Nemaha_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Nemaha_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Nemaha_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Nemaha_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|2.0|0|0.0|0|0.0|0
0|2020-05-15|2.0|0|0.0|0|0.0|0
0|2020-05-16|2.0|0|0.0|0|0.0|0
