|dates|Arapahoe_Colorado_UnitedStates.JHU_ConfirmedCases.data|Arapahoe_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Arapahoe_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Arapahoe_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Arapahoe_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Arapahoe_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|3703.0|0|254.0|0|0.0|0
0|2020-05-18|3767.0|0|253.0|0|0.0|0
0|2020-05-19|3827.0|0|258.0|0|0.0|0
0|2020-05-20|3889.0|0|272.0|0|0.0|0
0|2020-05-21|3943.0|0|273.0|0|0.0|0
0|2020-05-22|3974.0|0|276.0|0|0.0|0
0|2020-05-23|3974.0|0|276.0|0|0.0|0
