|dates|Caddo_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Caddo_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Caddo_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Caddo_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Caddo_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Caddo_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|114.0|0|10.0|0|0.0|0
0|2020-05-18|120.0|0|10.0|0|0.0|0
0|2020-05-19|122.0|0|10.0|0|0.0|0
0|2020-05-20|126.0|0|10.0|0|0.0|0
0|2020-05-21|132.0|0|10.0|0|0.0|0
0|2020-05-22|132.0|0|10.0|0|0.0|0
0|2020-05-23|132.0|0|10.0|0|0.0|0
