|dates|Yuba_California_UnitedStates.JHU_ConfirmedCases.data|Yuba_California_UnitedStates.JHU_ConfirmedCases.missing|Yuba_California_UnitedStates.JHU_ConfirmedDeaths.data|Yuba_California_UnitedStates.JHU_ConfirmedDeaths.missing|Yuba_California_UnitedStates.JHU_ConfirmedRecoveries.data|Yuba_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|25.0|0|1.0|0|0.0|0
0|2020-05-15|25.0|0|1.0|0|0.0|0
0|2020-05-16|25.0|0|1.0|0|0.0|0
