|dates|Hall_Georgia_UnitedStates.JHU_ConfirmedCases.data|Hall_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Hall_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Hall_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Hall_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Hall_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|2152.0|0|40.0|0|0.0|0
0|2020-05-18|2164.0|0|42.0|0|0.0|0
0|2020-05-19|2191.0|0|40.0|0|0.0|0
0|2020-05-20|2230.0|0|40.0|0|0.0|0
0|2020-05-21|2248.0|0|41.0|0|0.0|0
0|2020-05-22|2269.0|0|41.0|0|0.0|0
0|2020-05-23|2269.0|0|41.0|0|0.0|0
