|dates|Roosevelt_NewMexico_UnitedStates.JHU_ConfirmedCases.data|Roosevelt_NewMexico_UnitedStates.JHU_ConfirmedCases.missing|Roosevelt_NewMexico_UnitedStates.JHU_ConfirmedDeaths.data|Roosevelt_NewMexico_UnitedStates.JHU_ConfirmedDeaths.missing|Roosevelt_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.data|Roosevelt_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|37.0|0|0.0|0|0.0|0
0|2020-05-28|37.0|0|0.0|0|0.0|0
0|2020-05-29|37.0|0|0.0|0|0.0|0
0|2020-05-30|37.0|0|0.0|0|0.0|0
