|dates|Jasper_Illinois_UnitedStates.JHU_ConfirmedCases.data|Jasper_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Jasper_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Jasper_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Jasper_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Jasper_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|45.0|0|7.0|0|0.0|0
0|2020-05-25|45.0|0|7.0|0|0.0|0
0|2020-05-26|45.0|0|7.0|0|0.0|0
